,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
72,15813741,549.0,Spain,Male,25,6,193858.2,1,No,Yes,21600.11,False
73,15813718,651.0,Spain,Male,45,4,0.0,2,No,No,193009.21,False
74,15813697,498.0,Germany,Female,44,2,120702.67,2,Yes,Yes,98175.74,False
75,15813681,786.0,Germany,Male,24,2,120135.55,2,Yes,Yes,125449.47,False
76,15813660,754.0,Spain,Male,40,2,160625.17,1,No,Yes,3554.63,False
77,15813659,594.0,France,Female,56,7,0.0,1,Yes,No,26215.85,True
78,15813645,491.0,France,Female,36,0,53369.13,1,Yes,Yes,103934.12,False
79,15813640,642.0,France,Female,40,7,0.0,2,Yes,No,10712.82,False
80,15813590,610.0,Spain,Male,42,6,0.0,2,Yes,No,158302.59,True
81,15813532,625.0,France,Female,39,5,0.0,2,Yes,No,32615.21,False
82,15813504,543.0,Not reported,Female,25,1,146566.01,1,No,Yes,161407.48,False
83,15813503,606.0,Spain,Male,37,8,154712.58,2,Yes,No,89099.18,False
84,15813451,677.0,Spain,Male,18,8,134796.87,2,Yes,Yes,114858.9,False
85,15813444,590.0,Spain,Female,34,6,0.0,2,Yes,No,171021.44,False
86,15813439,587.0,France,Male,33,5,100116.82,1,Yes,No,34215.58,False
87,15813422,781.0,Spain,Male,35,4,80790.74,1,Yes,No,116429.51,False
88,15813412,721.0,France,Female,55,3,44020.89,1,Yes,No,65864.4,True
89,15813363,448.0,Spain,Male,25,2,0.0,2,No,No,95215.73,False
90,15813327,710.0,France,Male,21,4,109130.96,2,Yes,Yes,56191.99,False
91,15813303,513.0,Spain,Male,88,10,0.0,2,Yes,Yes,52952.24,False
92,15813283,605.0,France,Female,34,2,0.0,1,No,No,35982.42,False
93,15813192,494.0,France,Male,25,6,0.0,2,No,Yes,109988.09,False
94,15813168,756.0,Germany,Female,39,3,100717.85,3,Yes,Yes,73406.04,True
95,15813163,531.0,Spain,Female,36,9,99240.51,1,Yes,No,123137.01,False
96,15813159,526.0,France,Male,52,8,93590.47,1,No,Yes,21228.71,True
97,15813144,554.0,France,Female,26,7,92606.86,2,Yes,No,192709.69,False
98,15813140,543.0,Spain,Male,41,5,0.0,2,No,Yes,143980.29,False
99,15813132,696.0,Germany,Male,30,4,114027.7,1,Yes,Yes,193716.56,False
100,15813113,795.0,Spain,Female,56,5,0.0,1,Yes,No,35418.69,True
101,15813095,553.0,France,Male,37,2,0.0,2,Yes,No,33877.29,False
102,15813067,432.0,Germany,Female,45,3,110219.14,1,Yes,No,43046.7,True
103,15813034,727.0,Spain,Male,38,2,62276.99,1,Yes,Yes,59280.79,False
104,15813022,531.0,Spain,Male,70,1,0.0,2,No,No,99503.19,False
105,15812982,509.0,Spain,Male,38,2,0.0,1,No,No,168460.12,False
106,15812945,582.0,France,Female,29,0,0.0,1,Yes,Yes,84012.81,False
107,15812920,607.0,Germany,Not specified,40,5,90594.55,1,No,Yes,181598.25,False
108,15812918,432.0,France,Female,27,6,62339.81,2,No,No,53874.67,False
109,15812917,653.0,Spain,Male,35,6,116662.96,2,Yes,Not Reported,23864.21,False
110,15812893,629.0,France,Female,39,10,0.0,2,Yes,Yes,43174.49,True
111,15812888,447.0,France,Male,41,3,0.0,4,Yes,Yes,197490.39,True
112,15812878,785.0,Germany,Female,36,2,99806.85,1,No,Yes,36976.52,False
113,15812850,494.0,Spain,Male,67,5,0.0,2,Yes,Yes,85890.16,False
114,15812832,562.0,Germany,Male,33,8,92659.2,2,Yes,No,1354.25,False
115,15812767,731.0,Spain,Male,70,3,0.0,2,Yes,Yes,141180.66,False
116,15812766,490.0,Spain,Male,40,6,156111.08,1,No,No,190889.13,False
117,15812750,591.0,France,Male,24,6,147360.0,1,Yes,Yes,25310.82,False
118,15812720,807.0,Germany,Male,37,10,130110.45,2,No,Yes,172097.95,False
119,15812706,627.0,Spain,Male,49,4,111087.5,1,No,Yes,146680.25,False
120,15812647,691.0,France,Male,34,8,133936.04,2,Yes,No,91359.79,False
121,15812628,453.0,Germany,Female,38,8,120623.21,1,Yes,No,129697.99,False
122,15812616,707.0,France,Female,49,10,0.0,1,Yes,No,82967.97,True
123,15812611,690.0,Spain,Female,30,5,0.0,2,No,Yes,78700.03,False
124,15812607,663.0,Germany,Female,46,6,95439.4,1,Yes,Yes,21038.58,True
125,15812594,791.0,France,Male,34,7,0.0,2,Yes,No,96734.46,False
126,15812534,455.0,France,Male,40,1,0.0,3,No,Yes,129975.34,False
127,15812518,657.0,Spain,Female,37,0,163607.18,1,No,Yes,44203.55,False
128,15812513,599.0,Germany,Male,45,5,103583.05,1,Yes,No,132127.69,True
129,15812497,654.0,Germany,Male,37,5,112146.12,1,Yes,No,75927.35,False
130,15812482,575.0,France,Male,27,3,139301.68,1,Yes,No,99843.98,False
131,15812470,719.0,France,Male,61,5,0.0,2,No,Not Reported,29132.43,False
132,15812422,637.0,France,Male,41,2,0.0,2,No,Yes,102515.42,False
133,15812365,850.0,France,Male,40,8,102800.65,1,Yes,No,60811.56,False
134,15812356,722.0,Germany,Female,40,6,89175.06,2,No,Yes,152883.95,False
135,15812351,710.0,Spain,Female,27,2,135277.96,1,Yes,No,142200.15,False
136,15812338,485.0,Spain,Female,30,7,0.0,1,Yes,No,107067.37,False
137,15812324,779.0,France,Male,27,1,0.0,2,Yes,Yes,190623.02,False
138,15812279,634.0,France,Male,37,5,115345.86,2,No,No,168781.8,False
139,15812272,693.0,Germany,Male,44,5,124601.58,2,Yes,Yes,46998.13,True
140,15812262,808.0,Germany,Female,37,2,100431.84,2,Yes,No,35140.49,True
141,15812241,438.0,Germany,Male,59,7,127197.14,1,Yes,No,51565.98,True
142,15812230,670.0,Germany,Female,42,5,49508.79,3,Yes,Yes,100324.01,False
143,15812210,497.0,Germany,Female,32,8,111537.23,4,Yes,Yes,9497.99,True
144,15812198,543.0,Germany,Male,48,1,100900.5,1,No,No,33310.72,True
145,15812197,850.0,France,Male,38,7,80293.98,1,No,No,126555.74,False
146,15812191,553.0,France,Male,33,4,118082.89,1,No,No,94440.45,False
147,15812184,674.0,France,Female,31,1,0.0,1,Yes,No,128954.05,False
148,15812073,529.0,France,Female,39,7,0.0,2,Yes,Yes,175697.87,False
149,15812071,744.0,France,Male,54,6,93806.31,2,No,Yes,140068.77,False
150,15812040,594.0,France,Male,36,6,153880.15,1,No,No,135431.72,False
151,15812009,662.0,Spain,Male,38,4,0.0,2,Yes,No,136259.65,False
152,15812007,670.0,Spain,Male,25,6,0.0,2,Yes,Yes,78358.94,False
153,15811985,530.0,Spain,Male,44,6,0.0,2,No,No,55893.37,False
154,15811978,693.0,Germany,Male,46,2,104763.41,1,Yes,Yes,62368.33,False
155,15811970,653.0,France,Female,42,1,0.0,2,Yes,Yes,5768.32,False
156,15811958,850.0,Germany,Male,44,2,112755.34,2,No,No,158171.36,False
157,15811947,850.0,France,Male,33,0,124781.67,1,No,Yes,33700.52,False
158,15811927,733.0,France,Female,38,3,157658.36,1,No,No,19658.43,False
159,15811877,700.0,Not reported,Female,36,4,0.0,2,Yes,No,130789.15,False
160,15811842,630.0,Spain,Male,26,7,0.0,2,Yes,Yes,6656.64,False
161,15811773,543.0,France,Male,36,4,0.0,2,Yes,Yes,141210.5,False
162,15811762,583.0,Germany,Female,54,6,115988.86,1,Yes,No,57553.98,True
163,15811742,553.0,Spain,Male,42,7,0.0,2,Yes,No,7680.23,False
164,15811690,793.0,Germany,Male,54,2,128966.13,1,No,No,18633.4,True
165,15811613,588.0,France,Female,27,8,0.0,1,Yes,No,20066.38,False
166,15811594,660.0,Spain,Female,28,3,128929.88,1,Yes,Yes,198069.71,False
167,15811589,716.0,Spain,Male,42,8,0.0,2,Yes,No,180800.42,False
168,15811588,664.0,Spain,Female,53,7,187602.18,1,Yes,No,186392.99,True
169,15811565,705.0,Spain,Female,47,3,63488.7,1,No,Yes,28640.92,True
170,15811490,627.0,France,Male,33,5,0.0,2,Yes,Yes,103737.82,False
171,15811486,634.0,Germany,Female,39,8,130036.21,2,No,Yes,69849.55,False
172,15811415,691.0,France,Female,44,6,134066.1,2,Yes,Yes,197572.41,False
173,15811389,724.0,Not reported,Female,35,0,171982.95,2,No,Yes,167313.07,False
174,15811343,644.0,Germany,Male,35,5,161591.11,3,Yes,Yes,63795.62,False
175,15811327,700.0,Spain,Male,54,1,79415.67,1,No,Yes,139735.54,False
176,15811314,589.0,Germany,Female,36,9,140355.56,2,Yes,No,136329.96,False
177,15811290,680.0,Germany,Male,44,0,129974.79,2,Yes,Yes,33391.38,False
178,15811261,617.0,Spain,Male,42,0,70105.87,1,Yes,Yes,120830.73,False
179,15811236,705.0,Spain,Male,39,6,133261.13,1,Yes,Yes,78065.9,False
180,15811200,831.0,France,Female,34,2,0.0,2,No,No,165840.94,False
181,15811177,643.0,France,Female,31,3,167949.48,1,Yes,No,143162.34,False
182,15811127,521.0,France,Male,35,6,96423.84,1,Yes,No,10488.44,False
183,15811036,565.0,France,Male,46,7,135369.71,1,No,Yes,140130.22,False
184,15811032,477.0,Germany,Female,58,8,145984.92,1,Yes,Yes,24564.7,False
185,15811026,505.0,Not reported,Male,43,5,136855.94,2,Yes,No,171070.52,False
186,15810995,526.0,Germany,Male,34,3,122726.56,1,Yes,Yes,46772.36,False
187,15810978,788.0,Spain,Female,70,1,0.0,2,Yes,Yes,41610.62,False
188,15810944,586.0,France,Female,35,7,0.0,2,Yes,No,70760.69,False
189,15810942,445.0,Germany,Female,61,2,76722.67177696514,1,No,Yes,29909.84,False
190,15810910,702.0,Spain,Female,38,9,0.0,2,Yes,Yes,158527.45,False
191,15810898,803.0,France,Female,65,2,151659.52,2,No,Yes,6930.17,False
192,15810891,662.0,France,Male,34,2,117731.79,2,No,Yes,55120.79,False
193,15810878,537.0,Spain,Female,38,6,141786.78,2,No,Yes,147797.54,False
194,15810864,700.0,France,Female,82,2,0.0,2,No,Yes,182055.36,False
195,15810845,636.0,France,Male,42,2,0.0,2,Yes,Yes,55470.78,False
196,15810839,610.0,France,Male,34,0,103108.17,1,No,No,125646.82,False
197,15810834,525.0,Spain,Not specified,57,2,145965.33,1,Yes,Yes,64448.36,False
198,15810829,618.0,France,Male,48,7,0.0,1,Yes,No,13921.82,True
199,15810826,624.0,France,Male,36,6,0.0,2,No,No,84749.96,False
200,15810807,513.0,France,Female,43,9,0.0,2,Yes,No,152499.8,False
201,15810800,673.0,Spain,Female,32,0,0.0,1,Yes,Yes,72873.33,False
202,15810786,620.0,France,Female,67,3,0.0,2,Yes,Yes,43486.73,False
203,15810775,576.0,Spain,Male,52,2,100549.43,2,Yes,Yes,16644.16,False
204,15810732,730.0,France,Female,36,8,148749.29,2,Yes,No,91830.75,False
205,15810723,607.0,France,Female,39,10,0.0,3,Yes,No,132741.13,True
206,15810716,750.0,Not reported,Male,42,8,151836.36,2,Yes,No,68695.38,False
207,15810711,684.0,Germany,Male,37,4,138476.41,2,Yes,Yes,52367.29,False
208,15810660,774.0,Germany,Male,34,4,120875.23,2,No,Yes,113407.26,False
209,15810593,568.0,France,Male,51,4,0.0,3,Yes,Yes,66586.56,False
210,15810563,678.0,Spain,Female,61,8,0.0,2,Yes,Yes,159938.82,False
211,15810485,486.0,Germany,Male,37,1,101438.0,1,No,No,51364.56,False
212,15810460,708.0,Spain,Female,64,5,0.0,2,No,Yes,112520.07,True
213,15810457,728.0,Germany,Female,33,9,150412.14,2,Yes,No,170764.08,False
214,15810454,709.0,France,Male,32,4,147307.91,1,No,Yes,40861.55,False
215,15810444,562.0,Germany,Female,39,6,130565.02,1,Yes,No,9854.72,True
216,15810432,795.0,Spain,Male,35,8,0.0,2,Yes,No,167155.36,False
217,15810418,756.0,Germany,Female,60,3,115924.89,1,Yes,No,93524.19,True
218,15810390,718.0,France,Female,41,1,0.0,2,No,Yes,27509.52,True
219,15810385,717.0,Spain,Female,36,2,164557.95,1,No,Yes,82336.73,False
220,15810347,662.0,Spain,Female,30,9,0.0,2,No,Yes,157884.83,False
221,15810227,421.0,France,Male,34,2,0.0,2,Yes,Yes,96615.23,False
222,15810218,610.0,Spain,Male,29,9,0.0,3,No,Yes,83912.24,False
223,15810203,499.0,Germany,Female,44,6,77627.33,2,Yes,No,108222.68,False
224,15810167,657.0,Spain,Male,75,7,126273.95,1,No,Yes,91673.6,False
225,15810075,648.0,France,Female,39,6,130694.89,2,Yes,Yes,153955.38,True
226,15810010,678.0,Germany,Male,36,6,118448.15,2,Yes,No,53172.02,False
227,15809999,709.0,France,Female,41,3,150300.65,2,Yes,No,71672.86,False
228,15809991,756.0,Spain,Male,19,4,130274.22,2,Yes,Yes,133535.29,False
229,15809909,422.0,Spain,Female,54,4,0.0,2,Yes,Yes,7166.71,False
230,15809906,558.0,Germany,Male,26,1,148853.29,2,Yes,Yes,24411.02,False
231,15809901,755.0,France,Male,36,8,0.0,2,Yes,No,176809.87,False
232,15809872,650.0,France,Male,32,2,84906.45,1,Yes,No,163216.48,False
233,15809847,668.0,France,Male,46,0,0.0,2,No,No,29388.02,False
234,15809838,697.0,Spain,Male,30,1,0.0,2,No,No,735.79,False
235,15809837,430.0,Germany,Female,66,6,135392.31,2,Yes,Yes,172852.06,True
236,15809830,630.0,France,Male,50,8,0.0,2,No,Yes,79377.45,False
237,15809826,728.0,France,Not specified,46,2,109705.52,1,Yes,No,20276.87,True
238,15809823,491.0,Germany,Male,19,2,125860.2,1,No,No,129690.5,False
239,15809817,593.0,Spain,Male,43,10,0.0,2,No,No,53478.02,False
240,15809800,726.0,France,Female,38,4,0.0,2,No,No,6787.48,False
241,15809777,497.0,Germany,Female,55,7,131778.66,1,Yes,Yes,9972.64,False
242,15809772,667.0,France,Male,48,2,0.0,1,Yes,No,43229.2,False
243,15809736,664.0,France,Male,46,2,0.0,1,Yes,Yes,177423.02,True
244,15809722,611.0,France,Female,40,8,100812.33,2,Yes,No,147358.27,False
245,15809663,583.0,France,Female,27,1,125406.58,1,Yes,Yes,110784.42,False
246,15809654,707.0,France,Female,46,7,127476.73,2,Yes,Yes,146011.55,False
247,15809616,626.0,Spain,Male,26,8,0.0,2,No,No,191420.71,False
248,15809585,646.0,France,Male,38,7,0.0,2,Yes,No,1528.4,False
249,15809558,715.0,Spain,Male,31,7,0.0,1,Yes,Yes,149970.59,False
250,15809515,797.0,Germany,Male,32,1,151922.94,2,Yes,No,8877.06,False
251,15809509,699.0,France,Male,29,3,125689.29,1,Yes,Yes,151623.71,False
252,15809462,656.0,France,Male,30,3,0.0,2,No,Yes,17104.0,False
253,15809347,763.0,Germany,Male,32,9,160680.41,1,Yes,No,30886.35,False
254,15809320,845.0,Spain,Female,52,0,0.0,1,Yes,No,31726.76,True
255,15809309,689.0,Not reported,Female,40,5,154251.67,1,No,Yes,118319.5,False
256,15809302,572.0,France,Male,24,1,0.0,2,Yes,Yes,151460.84,False
257,15809286,631.0,Germany,Male,37,8,138292.64,2,No,No,152422.91,True
258,15809279,773.0,France,Male,45,8,96877.21,1,Yes,Yes,113950.51,False
259,15809265,547.0,France,Female,35,4,0.0,1,Yes,Yes,133287.73,False
260,15809263,729.0,Germany,Male,29,5,109676.52,1,Yes,Yes,25548.47,False
261,15809248,524.0,France,Female,36,10,0.0,2,Yes,No,109614.57,False
262,15809227,850.0,France,Male,35,2,0.0,2,Yes,Yes,56991.66,False
263,15809178,569.0,Germany,Female,42,9,146100.75,1,Yes,No,32574.01,True
264,15809143,456.0,Germany,Male,32,9,133060.63,1,Yes,Yes,125167.92,False
265,15809137,453.0,France,Not specified,29,6,0.0,1,No,No,198376.02,True
266,15809124,750.0,France,Male,38,5,151532.4,1,Yes,Yes,46555.15,False
267,15809100,548.0,France,Female,32,2,76722.67177696514,1,Yes,No,188083.77,True
268,15809087,598.0,France,Male,64,1,0.0,2,Yes,No,195635.3,True
269,15809057,600.0,Spain,Not specified,27,6,0.0,2,Yes,Yes,172031.22,False
270,15809006,602.0,France,Male,23,7,113758.48,2,No,No,84077.6,False
271,15808971,693.0,Spain,Female,57,9,0.0,2,Yes,Yes,135502.77,False
272,15808960,620.0,Germany,Male,40,5,108197.11,2,Yes,No,49722.34,False
273,15808930,531.0,France,Female,37,1,0.0,1,Yes,No,4606.97,False
274,15808905,823.0,France,Male,37,5,164858.18,1,Yes,Yes,173516.71,False
275,15808868,652.0,France,Female,31,3,103696.97,3,No,No,155221.05,True
276,15808851,511.0,Germany,Female,75,9,105609.17,1,No,Yes,105425.18,False
277,15808849,702.0,France,Male,40,7,145536.9,1,No,Yes,135334.24,False
278,15808846,672.0,Germany,Female,21,3,165878.76,2,Yes,Yes,164537.17,False
279,15808831,669.0,France,Male,29,7,0.0,2,Yes,Yes,138145.62,False
280,15808784,835.0,France,Male,28,2,163569.61,2,Yes,Yes,154559.28,False
281,15808780,850.0,France,Female,34,2,0.0,2,No,No,51919.04,False
282,15808760,603.0,Spain,Female,42,6,0.0,1,Yes,Yes,90437.87,False
283,15808689,850.0,France,Female,39,4,0.0,2,Yes,Yes,33082.81,False
284,15808674,616.0,Germany,Female,45,6,128352.59,3,Yes,Yes,144000.59,True
285,15808662,624.0,France,Male,44,3,0.0,2,Yes,No,88407.51,False
286,15808621,659.0,Germany,Male,36,2,76190.48,2,Yes,Yes,149066.14,False
287,15808582,665.0,France,Female,40,6,0.0,1,Yes,Yes,161848.03,False
288,15808566,516.0,France,Male,46,2,0.0,2,Yes,Yes,169122.54,False
289,15808557,695.0,France,Female,42,5,0.0,1,No,Yes,72172.13,True
290,15808544,747.0,France,Female,40,3,0.0,1,No,No,57817.84,True
291,15808526,783.0,Germany,Female,58,3,127539.3,1,Yes,Yes,96590.39,True
292,15808473,673.0,France,Male,72,1,0.0,2,No,Yes,111981.19,False
293,15808389,617.0,France,Female,79,7,0.0,1,Yes,Yes,160589.18,False
294,15808386,721.0,Germany,Female,45,7,138523.2,1,No,No,59604.45,True
295,15808334,776.0,Germany,Female,37,1,93124.04,2,Yes,Yes,196079.32,False
296,15808326,592.0,France,Female,34,9,0.0,2,Yes,Yes,20460.2,False
297,15808283,647.0,France,Female,33,4,0.0,1,Yes,No,152323.04,False
298,15808228,768.0,Spain,Female,44,6,60603.4,1,Yes,Yes,178045.97,False
299,15808223,615.0,Spain,Male,41,1,126773.43,1,Yes,Yes,55551.26,False
300,15808189,449.0,France,Male,52,6,0.0,2,No,Yes,123622.0,False
301,15808182,478.0,Spain,Female,36,3,92363.3,2,Yes,No,44912.7,False
302,15808175,557.0,France,Female,39,7,76722.67177696514,1,Yes,No,115287.99,True
303,15808044,580.0,France,Female,65,9,106804.26,3,Yes,No,107890.69,True
304,15808023,836.0,France,Female,29,9,133681.78,1,Yes,Yes,153747.73,False
305,15808017,545.0,France,Male,38,1,88293.13,2,Yes,Yes,24302.95,False
306,15807993,588.0,Germany,Female,30,0,110148.49,1,Yes,No,5790.9,True
307,15807989,681.0,Germany,Male,37,8,73179.34,2,Yes,Yes,25292.53,False
308,15807961,619.0,France,Male,25,4,0.0,1,Yes,No,145524.36,False
309,15807923,716.0,Germany,Female,39,10,115301.31,2,Yes,No,43527.4,True
310,15807909,744.0,France,Male,47,9,0.0,2,Yes,No,113163.17,False
311,15807900,575.0,France,Male,36,7,0.0,1,Yes,Yes,55868.97,True
312,15807889,634.0,Germany,Male,74,5,108891.7,1,Yes,No,10078.02,False
313,15807837,640.0,France,Female,30,6,107499.7,2,Yes,Yes,187632.22,False
314,15807768,702.0,Germany,Male,28,1,103033.83,1,Yes,Yes,40321.87,False
315,15807728,530.0,France,Female,45,1,0.0,1,No,Yes,190663.89,True
316,15807709,714.0,Germany,Female,55,9,180075.22,1,Yes,Yes,100127.71,False
317,15807663,667.0,France,Male,43,8,190227.46,1,Yes,No,97508.04,True
318,15807609,650.0,Spain,Female,39,3,86605.5,3,Yes,No,16649.31,True
319,15807595,485.0,Germany,Male,51,7,144244.59,2,Yes,No,51113.14,False
320,15807593,546.0,Spain,Female,36,7,85660.96,1,No,No,134778.01,False
321,15807568,632.0,France,Male,50,2,0.0,2,No,No,57942.88,False
322,15807563,841.0,France,Female,52,5,0.0,1,No,No,183239.71,True
323,15807555,535.0,France,Male,45,2,0.0,2,Yes,No,125658.28,False
324,15807546,837.0,France,Female,39,2,0.0,2,Yes,Yes,46395.21,False
325,15807525,447.0,France,Male,43,2,0.0,2,Yes,No,33879.26,True
326,15807524,569.0,France,Female,44,4,0.0,2,No,No,134394.78,False
327,15807481,577.0,France,Female,46,5,0.0,1,Yes,Yes,158750.53,False
328,15807473,503.0,France,Male,38,1,0.0,2,Yes,Yes,95153.24,False
329,15807457,641.0,Spain,Female,36,1,0.0,2,Yes,No,102021.39,False
330,15807433,570.0,France,Female,43,9,0.0,2,No,Yes,11417.26,False
331,15807432,645.0,Germany,Female,37,2,136925.09,2,No,Yes,153400.24,False
332,15807340,525.0,Germany,Male,33,4,131023.76,2,No,No,55072.93,False
333,15807335,676.0,Spain,Female,64,4,116954.32,1,Yes,Yes,91149.48,False
334,15807312,602.0,Spain,Male,33,5,0.0,2,No,Yes,64038.34,False
335,15807305,805.0,France,Male,39,2,0.0,1,No,No,166650.32,False
336,15807294,653.0,Spain,Female,30,2,88243.29,2,Yes,Yes,96658.26,False
337,15807269,690.0,Germany,Male,43,2,166522.78,1,No,No,119644.59,True
338,15807245,699.0,Germany,Female,41,1,200117.76,2,Not Reported,No,94142.35,False
339,15807239,664.0,France,Female,39,7,93920.47,1,No,No,179913.98,False
340,15807221,555.0,Spain,Male,21,1,0.0,2,No,No,103901.35,False
341,15807194,718.0,Spain,Male,34,5,113922.44,2,Yes,No,30772.22,False
342,15807167,635.0,France,Male,42,1,146766.72,2,No,Yes,164357.1,False
343,15807163,537.0,France,Female,38,10,0.0,2,No,No,52337.97,True
344,15807120,841.0,Germany,Female,52,3,112383.03,1,Yes,No,85516.37,True
